semantic_id	authority_id	encoding_id	operands	explicit_reads	explicit_writes	implicit_reads	implicit_writes	ties	destructive_uses	early_clobbers	fixed_roles	overlap_restrictions	register_views	arrangements	lists_lanes	target_owned_operands	memory_kind	memory_range	memory_alignment	addressing	writeback	tag_access	gather_scatter_first_fault	atomicity	exclusives	ordering	progress	control_flow	stack_behavior	architecture	features	execution_level	security_virtualization	streaming_state	other_state_gates	effects	authority_requirements	determinism	faults	target_defined	deprecation
a64:semantic:instruction_form:and-64-log-imm:714f66c012c6fd91	a64:instruction_form:and-64-log-imm:714f66c012c6fd91	a64:encoding:and-64-log-imm:714f66c012c6fd91	rd:gpr64|rn:gpr64|imm:encoded_immediate	rn	rd	none	none	none	none	none	none	none	xN	none	none	none	none	0	1	none	none	none	none	none	none	none	immediate	fallthrough	preserved:delta=0	Armv8-A	base	EL0..EL3	any	any	none	none	none	deterministic	none	none	removed_if_authority_deprecates
a64:semantic:instruction_form:and-64-log-shift:d48e002764135b7e	a64:instruction_form:and-64-log-shift:d48e002764135b7e	a64:encoding:and-64-log-shift:d48e002764135b7e	rd:gpr64|rn:gpr64|rm:gpr64|shift:u2|amount:u6	rn|rm	rd	none	none	none	none	none	none	none	xN	none	none	none	none	0	1	none	none	none	none	none	none	none	immediate	fallthrough	preserved:delta=0	Armv8-A	base	EL0..EL3	any	any	none	none	none	deterministic	none	none	removed_if_authority_deprecates
a64:semantic:instruction_form:and-asimdsame-only:f69ea14abdd510f7	a64:instruction_form:and-asimdsame-only:f69ea14abdd510f7	a64:encoding:and-asimdsame-only:f69ea14abdd510f7	vd:simd|vn:simd|vm:simd	vn|vm	vd	fp_access_control|streaming_state	none	none	none	none	none	none	vN	formula:simd_arrangement_from_q_size	none	none	none	0	1	none	none	none	none	none	none	none	immediate	fallthrough	preserved:delta=0	Armv8-A	FEAT_AdvSIMD	EL0..EL3	any	formula:simd_streaming_gate	none	none	fp_simd_access_enabled	deterministic	architectural_fault:fp_simd_access_trap	none	removed_if_authority_deprecates
a64:semantic:instruction_form:ands-32s-log-imm:686f816454456d93	a64:instruction_form:ands-32s-log-imm:686f816454456d93	a64:encoding:ands-32s-log-imm:686f816454456d93	rd:gpr32|rn:gpr32|imm:encoded_immediate	rn	rd	none	NZCV	none	none	none	none	none	wN	none	none	none	none	0	1	none	none	none	none	none	none	none	immediate	fallthrough	preserved:delta=0	Armv8-A	base	EL0..EL3	any	any	none	none	none	deterministic	none	none	removed_if_authority_deprecates
a64:semantic:instruction_form:ands-64s-log-imm:ceeadfc332703a65	a64:instruction_form:ands-64s-log-imm:ceeadfc332703a65	a64:encoding:ands-64s-log-imm:ceeadfc332703a65	rd:gpr64|rn:gpr64|imm:encoded_immediate	rn	rd	none	NZCV	none	none	none	none	none	xN	none	none	none	none	0	1	none	none	none	none	none	none	none	immediate	fallthrough	preserved:delta=0	Armv8-A	base	EL0..EL3	any	any	none	none	none	deterministic	none	none	removed_if_authority_deprecates
a64:semantic:instruction_form:asrv-32-dp-2src:7e75e18a8659f404	a64:instruction_form:asrv-32-dp-2src:7e75e18a8659f404	a64:encoding:asrv-32-dp-2src:7e75e18a8659f404	rd:gpr32|rn:gpr32|rm:gpr32	rn|rm	rd	none	none	none	none	none	none	none	wN	none	none	none	none	0	1	none	none	none	none	none	none	none	immediate	fallthrough	preserved:delta=0	Armv8-A	base	EL0..EL3	any	any	none	none	none	deterministic	none	none	removed_if_authority_deprecates
a64:semantic:instruction_form:asrv-64-dp-2src:9c19c82a2d4cd3aa	a64:instruction_form:asrv-64-dp-2src:9c19c82a2d4cd3aa	a64:encoding:asrv-64-dp-2src:9c19c82a2d4cd3aa	rd:gpr64|rn:gpr64|rm:gpr64	rn|rm	rd	none	none	none	none	none	none	none	xN	none	none	none	none	0	1	none	none	none	none	none	none	none	immediate	fallthrough	preserved:delta=0	Armv8-A	base	EL0..EL3	any	any	none	none	none	deterministic	none	none	removed_if_authority_deprecates
a64:semantic:instruction_form:b-only-branch-imm:474f71088223424a	a64:instruction_form:b-only-branch-imm:474f71088223424a	a64:encoding:b-only-branch-imm:474f71088223424a	target:branch26	none	none	none	pc	none	none	none	encoding=branch26	none	none	none	none	target:branch26	none	0	1	none	none	none	none	none	none	none	immediate	branch	preserved:delta=0	Armv8-A	base	EL0..EL3	any	any	none	none	none	deterministic	architectural_fault:invalid_instruction_address	none	removed_if_authority_deprecates
a64:semantic:instruction_form:b-only-condbranch:1e7c4579c302a084	a64:instruction_form:b-only-condbranch:1e7c4579c302a084	a64:encoding:b-only-condbranch:1e7c4579c302a084	target:conditional_branch19|condition:nzcv	none	none	NZCV	pc	none	none	none	encoding=conditional_branch19	none	none	none	none	target:conditional_branch19	none	0	1	none	none	none	none	none	none	none	immediate	conditional_branch	preserved:delta=0	Armv8-A	base	EL0..EL3	any	any	none	none	none	deterministic	architectural_fault:invalid_instruction_address_if_taken	none	removed_if_authority_deprecates
a64:semantic:instruction_form:bfm-32m-bitfield:dcbed29556885d62	a64:instruction_form:bfm-32m-bitfield:dcbed29556885d62	a64:encoding:bfm-32m-bitfield:dcbed29556885d62	rd:gpr32|rn:gpr32|immr:u6|imms:u6	rd|rn	rd	none	none	rd=read_write	rd	none	none	none	wN	none	none	none	none	0	1	none	none	none	none	none	none	none	immediate	fallthrough	preserved:delta=0	Armv8-A	base	EL0..EL3	any	any	none	none	none	deterministic	none	none	removed_if_authority_deprecates
a64:semantic:instruction_form:bfm-64m-bitfield:22ee83234c32a1b8	a64:instruction_form:bfm-64m-bitfield:22ee83234c32a1b8	a64:encoding:bfm-64m-bitfield:22ee83234c32a1b8	rd:gpr64|rn:gpr64|immr:u6|imms:u6	rd|rn	rd	none	none	rd=read_write	rd	none	none	none	xN	none	none	none	none	0	1	none	none	none	none	none	none	none	immediate	fallthrough	preserved:delta=0	Armv8-A	base	EL0..EL3	any	any	none	none	none	deterministic	none	none	removed_if_authority_deprecates
a64:semantic:instruction_form:bic-32-log-shift:be4c4a11b3c721c3	a64:instruction_form:bic-32-log-shift:be4c4a11b3c721c3	a64:encoding:bic-32-log-shift:be4c4a11b3c721c3	rd:gpr32|rn:gpr32|rm:gpr32|shift:u2|amount:u6	rn|rm	rd	none	none	none	none	none	none	none	wN	none	none	none	none	0	1	none	none	none	none	none	none	none	immediate	fallthrough	preserved:delta=0	Armv8-A	base	EL0..EL3	any	any	none	none	none	deterministic	none	none	removed_if_authority_deprecates
a64:semantic:instruction_form:bic-64-log-shift:d341131f30ef759d	a64:instruction_form:bic-64-log-shift:d341131f30ef759d	a64:encoding:bic-64-log-shift:d341131f30ef759d	rd:gpr64|rn:gpr64|rm:gpr64|shift:u2|amount:u6	rn|rm	rd	none	none	none	none	none	none	none	xN	none	none	none	none	0	1	none	none	none	none	none	none	none	immediate	fallthrough	preserved:delta=0	Armv8-A	base	EL0..EL3	any	any	none	none	none	deterministic	none	none	removed_if_authority_deprecates
a64:semantic:instruction_form:bic-asimdsame-only:b382ea2c48be89ad	a64:instruction_form:bic-asimdsame-only:b382ea2c48be89ad	a64:encoding:bic-asimdsame-only:b382ea2c48be89ad	vd:simd|vn:simd|vm:simd	vn|vm	vd	fp_access_control|streaming_state	none	none	none	none	none	none	vN	formula:simd_arrangement_from_q_size	none	none	none	0	1	none	none	none	none	none	none	none	immediate	fallthrough	preserved:delta=0	Armv8-A	FEAT_AdvSIMD	EL0..EL3	any	formula:simd_streaming_gate	none	none	fp_simd_access_enabled	deterministic	architectural_fault:fp_simd_access_trap	none	removed_if_authority_deprecates
a64:semantic:instruction_form:bl-only-branch-imm:ea6420b3e0abfdfa	a64:instruction_form:bl-only-branch-imm:ea6420b3e0abfdfa	a64:encoding:bl-only-branch-imm:ea6420b3e0abfdfa	target:call26	none	none	none	pc|x30	none	none	none	link=x30;encoding=call26	none	x30	scalar64	none	target:call26	none	0	1	none	none	none	none	none	none	none	immediate	call	preserved:delta=0	Armv8-A	base	EL0..EL3	any	any	none	none	none	deterministic	architectural_fault:invalid_instruction_address	none	removed_if_authority_deprecates
a64:semantic:instruction_form:blr-64-branch-reg:770ead7e3fcdc8eb	a64:instruction_form:blr-64-branch-reg:770ead7e3fcdc8eb	a64:encoding:blr-64-branch-reg:770ead7e3fcdc8eb	rn:gpr64	rn	none	none	pc|x30	none	none	none	link=x30	rn!=sp|xzr	xN	none	none	none	none	0	1	none	none	none	none	none	none	none	immediate	call	preserved:delta=0	Armv8-A	base	EL0..EL3	any	any	none	none	none	deterministic	architectural_fault:invalid_instruction_address	none	removed_if_authority_deprecates
a64:semantic:instruction_form:br-64-branch-reg:9aaf83c0a39db37f	a64:instruction_form:br-64-branch-reg:9aaf83c0a39db37f	a64:encoding:br-64-branch-reg:9aaf83c0a39db37f	rn:gpr64	rn	none	none	pc	none	none	none	none	rn!=sp|xzr	xN	none	none	none	none	0	1	none	none	none	none	none	none	none	immediate	branch	preserved:delta=0	Armv8-A	base	EL0..EL3	any	any	none	none	none	deterministic	architectural_fault:invalid_instruction_address	none	removed_if_authority_deprecates
a64:semantic:instruction_form:brk-ex-exception:7046fa1ce7c640b8	a64:instruction_form:brk-ex-exception:7046fa1ce7c640b8	a64:encoding:brk-ex-exception:7046fa1ce7c640b8	imm16:u16	none	none	PSTATE|exception_state	pc|PSTATE|exception_state|ELR_ELx|SPSR_ELx	none	none	none	none	none	none	none	none	exception_target=debug_exception_route	none	0	1	none	none	none	none	none	none	context_synchronizing	immediate	exception_terminal	preserved:delta=0	Armv8-A	base	EL0..EL3	any	any	none	trap	debug_exception_routing	deterministic	architectural_fault:software_breakpoint_exception	none	removed_if_authority_deprecates
a64:semantic:instruction_form:cas-c32-comswap:84a82f7a624a9350	a64:instruction_form:cas-c32-comswap:84a82f7a624a9350	a64:encoding:cas-c32-comswap:84a82f7a624a9350	rs_expected:gpr32|rt_desired:gpr32|rn:address	rs_expected|rt_desired|rn	rs_expected	translation_regime|memory_attributes	none	rs_expected=read_write	rs_expected	none	rn=xn_or_sp;rn31=sp;rs_expected=wt_or_wzr;rs_expected31=constant_zero_then_discarded_write_to_wzr;rt_desired=wt_or_wzr;rt_desired31=constant_zero_from_wzr	none	wN|wzr|address64|sp	none	none	sp|wzr	normal:atomic-capable:read-with-conditional-write	read=4;write_if_equal=4;write_otherwise=0	required=4;natural=4;sp_check=formula:sp_alignment_check_if_rn_is_sp	base	none	formula:memory_tagchecked_if_rn_not_sp	none	atomic-compare-exchange:4-byte-range	none	success=relaxed;failure=relaxed	single-copy-atomic	fallthrough	preserved:delta=0	Armv8-A	FEAT_LSE	EL0..EL3	any	any	none	atomic	none	deterministic	architectural_fault:data_abort|architectural_fault:alignment_if_not_naturally_aligned|architectural_fault:sp_alignment_if_rn_is_sp_and_enabled|architectural_fault:tag_check_if_tagchecked	none	removed_if_authority_deprecates
a64:semantic:instruction_form:cas-c64-comswap:7e046efc42a49cac	a64:instruction_form:cas-c64-comswap:7e046efc42a49cac	a64:encoding:cas-c64-comswap:7e046efc42a49cac	rs_expected:gpr64|rt_desired:gpr64|rn:address	rs_expected|rt_desired|rn	rs_expected	translation_regime|memory_attributes	none	rs_expected=read_write	rs_expected	none	rn=xn_or_sp;rn31=sp;rs_expected=xt_or_xzr;rs_expected31=constant_zero_then_discarded_write_to_xzr;rt_desired=xt_or_xzr;rt_desired31=constant_zero_from_xzr	none	xN|xzr|address64|sp	none	none	sp|xzr	normal:atomic-capable:read-with-conditional-write	read=8;write_if_equal=8;write_otherwise=0	required=8;natural=8;sp_check=formula:sp_alignment_check_if_rn_is_sp	base	none	formula:memory_tagchecked_if_rn_not_sp	none	atomic-compare-exchange:8-byte-range	none	success=relaxed;failure=relaxed	single-copy-atomic	fallthrough	preserved:delta=0	Armv8-A	FEAT_LSE	EL0..EL3	any	any	none	atomic	none	deterministic	architectural_fault:data_abort|architectural_fault:alignment_if_not_naturally_aligned|architectural_fault:sp_alignment_if_rn_is_sp_and_enabled|architectural_fault:tag_check_if_tagchecked	none	removed_if_authority_deprecates
