// wyst.syntaxWords.v0.9
// spelling	classification	owner	legal_positions	state
elements	contextual	core.slice-construction	compiler-operation-argument-label	implemented
endian	contextual	core.address-operations	compiler-operation-argument-label	implemented
big	contextual	core.address-operations	endian-argument	implemented
little	contextual	core.address-operations	endian-argument	implemented
relaxed	contextual	core.atomic-operations	atomic-order-variant	implemented
acquire	contextual	core.atomic-operations	atomic-order-variant	implemented
release	contextual	core.atomic-operations	atomic-order-variant	implemented
acq_rel	contextual	core.atomic-operations	atomic-order-variant	implemented
seq_cst	contextual	core.atomic-operations	atomic-order-variant	implemented
source	contextual	core.scheduling	schedule-policy|attribute-signature-atom	implemented
pure	contextual	core.checked-assembly	asm-modifier	implemented
asm	reserved	core.checked-assembly	statement|expression-prefix	implemented
preserves	contextual	core.checked-assembly	asm-stack-contract	implemented
establishes	contextual	core.checked-assembly|core.target-structural-dsls	asm-stack-contract|trap-frame-label-clause	implemented
restores	contextual	core.checked-assembly|core.target-structural-dsls	asm-stack-contract|trap-frame-label-clause	implemented
stack	contextual	core.checked-assembly	asm-stack-contract-suffix	implemented
imm	contextual	core.checked-assembly	asm-parameter-kind	implemented
symbol	contextual	core.layout|core.checked-assembly|core.linkage-boundaries	layout-symbol-declaration|asm-parameter-kind|linkage-declaration	implemented
weak	contextual	core.linkage-boundaries	export-binding	implemented
scratch	contextual	core.checked-assembly	asm-parameter-prefix	implemented
effects	contextual	core.callable-contracts	callable-effect-bound	implemented
align	contextual	core.layout|core.checked-assembly|declaration.attributes	layout-section-alignment|asm-modifier|attribute-name	implemented
none	contextual	core.callable-contracts|core.project-manifests	effect-bound-empty|manifest-policy-variant	implemented
sysreg	contextual	core.machine-semantics	effect-signature-atom	implemented
trap	contextual	core.machine-semantics	effect-signature-atom	implemented
exception_return	contextual	core.machine-semantics	effect-signature-atom	implemented
cache_maintenance	contextual	core.machine-semantics	effect-signature-atom	implemented
tlb_maintenance	contextual	core.machine-semantics	effect-signature-atom	implemented
atomic	unshadowable	core.atomic-operations|core.machine-semantics	type-constructor|expression-callee|effect-signature-atom	implemented
cpu_event	contextual	core.machine-semantics	effect-signature-atom	implemented
cpu_halt	contextual	core.machine-semantics	effect-signature-atom	implemented
interrupt_mask	contextual	core.machine-semantics	effect-signature-atom	implemented
volatile_access	contextual	core.machine-semantics	effect-signature-atom	implemented
barrier	contextual	core.machine-semantics	effect-signature-atom	implemented
fp_state	contextual	core.machine-semantics	effect-signature-atom	implemented
perf_counter	contextual	core.machine-semantics	effect-signature-atom	implemented
execution_suspension	contextual	core.execution-strands	effect-signature-atom	implemented
data	contextual	core.layout|core.slice-types	layout-section-kind|slice-read-only-projection	implemented
len	contextual	core.slice-types	slice-read-only-projection	implemented
entry	contextual	core.layout	layout-entry-clause	implemented
layout	contextual	core.layout|core.project-manifests	layout-declaration|manifest-layout-clause	implemented
region	contextual	core.layout	layout-region-clause	implemented
section	contextual	core.layout	layout-section-clause	implemented
code	contextual	core.layout|core.project-manifests	layout-section-kind|manifest-verification-clause	implemented
rodata	contextual	core.layout	layout-section-kind	implemented
bss	contextual	core.layout	layout-section-kind	implemented
project	contextual	core.project-manifests	manifest-project-declaration	implemented
source_root	contextual	core.project-manifests	manifest-source-root-clause	implemented
default	contextual	core.project-manifests	manifest-default-clause	implemented
