relocation	recipe_id	instruction_encoding_ids	words	standard_relocations	scratch	placement	permission	failure_diagnostic
R_AARCH64_CALL26	wyst.a64.veneer.call26.adrp-add-br	a64:encoding:adrp-only-pcreladdr:3804d7b0234500a2|a64:encoding:add-64-addsub-imm:f9088474ba5a7702|a64:encoding:br-64-branch-reg:9aaf83c0a39db37f	0x90000010|0x91000210|0xd61f0200	R_AARCH64_ADR_PREL_PG_HI21@0|R_AARCH64_ADD_ABS_LO12_NC@4	x16	unique_after_source_chunk	authenticated_wyst_ordinary	E0601
R_AARCH64_JUMP26	wyst.a64.veneer.jump26.adrp-add-br	a64:encoding:adrp-only-pcreladdr:3804d7b0234500a2|a64:encoding:add-64-addsub-imm:f9088474ba5a7702|a64:encoding:br-64-branch-reg:9aaf83c0a39db37f	0x90000010|0x91000210|0xd61f0200	R_AARCH64_ADR_PREL_PG_HI21@0|R_AARCH64_ADD_ABS_LO12_NC@4	x16	unique_after_source_chunk	authenticated_wyst_ordinary	E0601
