semantic_id	authority_id	section	alignment	shape	entry_behavior	terminal_behavior	saved_state	restored_state	stack_behavior	architecture	features	execution_level	security_virtualization	streaming_state	compatibility	faults	deprecation
a64:semantic:vector-table:aarch64	a64:vector-table:aarch64	.wyst.vectors.<declaration>	0x800	16_slots*0x80_bytes:current_el_sp0_sync|current_el_sp0_irq|current_el_sp0_fiq|current_el_sp0_serror|current_el_spx_sync|current_el_spx_irq|current_el_spx_fiq|current_el_spx_serror|lower_el_aarch64_sync|lower_el_aarch64_irq|lower_el_aarch64_fiq|lower_el_aarch64_serror|lower_el_aarch32_sync|lower_el_aarch32_irq|lower_el_aarch32_fiq|lower_el_aarch32_serror	bare_entry:no_prologue_or_epilogue	body_must_end_in_terminal_transfer_or_nonreturning_loop	none	none	entry_stack_selected_by_architectural_slot	Armv8-A	base	EL1..EL3	formula:selected_exception_profile	any	profile_execution_state_must_match_each_slot_identity	architectural_fault:invalid_VBAR_alignment_or_entry_state	removed_if_authority_deprecates
a64:semantic:trap-frame:aarch64	a64:trap-frame:aarch64	none	0x10	0x110_bytes:x[31]@0x000|elr@0x0f8|spsr@0x100|interrupted_sp@0x108	entry_saves_x0..x30|ELR_ELx|SPSR_ELx|interrupted_sp_before_ordinary_code	restore_restores_exact_saved_state_then_ERET	x0..x30|ELR_ELx|SPSR_ELx|interrupted_sp	x0..x30|ELR_ELx|SPSR_ELx|sp|PSTATE|pc	entry_delta=-0x110;restore_delta=+0x110	Armv8-A	base	EL1..EL3	formula:selected_exception_profile	any	naked_nonreturning_label_and_matching_arm64_frame_type	architectural_fault:misaligned_frame_or_illegal_exception_return	removed_if_authority_deprecates
