format	revision	container	magic_or_elf_identity	relocations	content_binding	availability
semantic_interface	9	canonical_wyst_binary	5759535449460009	none	sha256_schema_digest	implemented_internal_compiler_product
native_object	1	elf64_little_aarch64_et_rel	7f454c46	elf64_rela_only	sha256_complete_interface_digest_and_build_plan_pair	implemented_internal_and_archive_member
native_archive	1	gnu_system_v_regular_ar	213c617263683e0a	member_elf64_rela_only	sha256_member_digest	implemented
wyst_native_bundle	4	canonical_wyst_binary	575953544c494204	none	sha256_object_interface_pair	implemented
final_artifact	1	elf64_little_aarch64_et_exec	7f454c46	fully_resolved_none_serialized	whole_artifact_reproducibility	implemented
