identity	namespace	category	member	internal	class	target_plan	result	parameters	compiler_ordering	source_privilege	observation
core.language.float_bits	-	-	float_bits	float_bits	language	encoding_selector:a64:encoding:fmov-32s-float2int:47f040d2d0e44d1c|a64:encoding:fmov-64d-float2int:833d0b1e0a16cb02	U	value:f32-or-f64	none	language	discardable
core.language.fma	-	-	fma	fma	language	encoding_selector:a64:encoding:fmadd-s-floatdp3:d156b3bad7b35ef8|a64:encoding:fmadd-d-floatdp3:e47382cb80efc8b6|a64:encoding:fmsub-s-floatdp3:46988ab2ef6a71df|a64:encoding:fmsub-d-floatdp3:2a6017ffd914bc17	T	a:T|b:T|c:T	fp_state	language	discardable
core.language.leading_zeros	-	-	leading_zeros	leading_zeros	language	encoding_selector:a64:encoding:clz-32-dp-1src:65ed1bfc367dab6f|a64:encoding:clz-64-dp-1src:51a05266584adeb0	u8	value:integer	none	language	discardable
core.language.mul_wide	-	-	mul_wide	mul_wide	language	sequence:a64:encoding:madd-64a-dp-3src:1f4f649eddc92162@fields=Rm:10,Ra:31,Rn:9,Rd:11|a64:encoding:umulh-64-dp-3src:a94f506ecb035431@fields=Rm:10,Rn:9,Rd:10	(low:u64,high:u64)	left:u64|right:u64	none	language	discardable
core.language.trusted_slice	-	-	trusted_slice	checked_trusted_slice	language	compiler:trusted_external_slice	Result<[]T,ExternalSliceFailure>	raw:u64|elements:u64	none	language	must_observe
core.language.trusted_mut_slice	-	-	trusted_mut_slice	checked_trusted_mut_slice	language	compiler:trusted_external_mut_slice	Result<[]T,ExternalSliceFailure>	raw:u64|elements:u64	none	language	must_observe
core.language.maybe_uninit.assume_init	-	MaybeUninit	assume_init	maybe_uninit_assume_init	language	compiler:asserted_typed_read	T	receiver:MaybeUninit<T>	none	language	discardable
core.language.maybe_uninit.read	-	MaybeUninit	read	maybe_uninit_read	language	compiler:proved_typed_read	T	receiver:MaybeUninit<T>	none	language	discardable
core.language.maybe_uninit.read_uninit	-	MaybeUninit	read_uninit	read_uninit	language	compiler:indeterminate_read	T	receiver:MaybeUninit<T>	none	language	discardable
core.language.maybe_uninit.uninit	-	MaybeUninit	uninit<T>	maybe_uninit	language	compiler:reserve_uninitialized_storage	MaybeUninit<T>	none	none	language	discardable
core.language.maybe_uninit.write	-	MaybeUninit	write	write_uninit	language	compiler:complete_typed_write	void	receiver:MaybeUninit<T>-or-@MaybeUninit<T>|value:T	none	language	discardable
core.language.system_register.declare_encoded	-	system_register	declaration	-	language	owner:hardware_declarations	system_register	name|access|backing|encoding	none	language	discardable
core.language.system_register.read	-	system_register	read	-	language	owner:hardware_declarations	snapshot	receiver:system_register	full_compiler_fence	language	discardable
core.language.system_register.write	-	system_register	write	-	language	owner:hardware_declarations	void	receiver:system_register|value:backing	full_compiler_fence	language	discardable
core.language.vector.abs	-	vector	abs	abs	language	encoding:a64:encoding:fabs-asimdmisc-r:93625345ca3b23b2	V	receiver:float_vector	fp_state	language	discardable
core.language.vector.neg	-	vector	unary_neg	neg	language	encoding:a64:encoding:fneg-asimdmisc-r:703812f8a083be9f	V	receiver:float_vector	fp_state	language	discardable
core.language.vector.sqrt	-	vector	sqrt	sqrt	language	encoding:a64:encoding:fsqrt-asimdmisc-r:26369062d80bfabc	V	receiver:float_vector	fp_state	language	discardable
